Transaction ID,User ID,Date,Amount,Category,Merchant Description,Recurring,Frequency,Mode,OTT Label
bdd640fb-0667-4ad1-9c80-317fa3b1799d,1,2024-04-16,9.88,Dining,Walker Ltd,False,N/A,Card,
e465e150-bd9c-46b3-ad3c-2d6d1a3d1fa7,1,2024-07-30,148.61,Utilities,Garza Inc,False,N/A,Cash,
3b8faa18-37f8-488b-97fc-695a07a0ca6e,1,2024-07-15,21.95,Shopping,"Johnson, Gonzalez and Santos",False,N/A,Card,
72ff5d2a-386e-4be0-ab65-a6a48b8148f6,1,2024-08-16,7.99,Subscription,Amazon Prime Video,True,Monthly,Card,Amazon Prime Video
01a9e71f-de8a-474b-8f36-d58b47378190,1,2024-03-03,10.17,Transport,"Henderson, Ramirez and Lewis",False,N/A,Cash,
17be3111-1a2a-43ed-962b-0f79c37459ee,1,2024-05-27,111.26,Transport,Howard LLC,False,N/A,UPI,
0b1f9163-ce9f-457f-83b7-a3a69a8dca03,1,2024-06-27,162.84,Groceries,"Martinez, Nielsen and Miller",False,N/A,Card,
9e574f7a-a0ee-49ae-9453-dd324b0dbb41,1,2024-05-20,71.35,Transport,"Lee, Jones and Stanley",False,N/A,Card,
146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,1,2024-03-31,70.64,Groceries,James Group,False,N/A,UPI,
29a3b2e9-5d65-4441-9588-42dea2bc372f,1,2024-05-23,8.99,Subscription,Disney+,True,Monthly,UPI,Disney+
4458a885-ab90-49a4-b5a2-40ae5af30553,1,2024-09-08,147.3,Health,Lynch and Sons,False,N/A,Card,
29d4beef-3eab-4dcb-baa8-0dd488bd6407,1,2024-06-28,78.81,Health,Nelson-Schaefer,False,N/A,UPI,
af42e12f-3838-4326-8e94-4239b02b61c4,1,2024-05-05,125.61,Dining,Perez Inc,False,N/A,Cash,
448aaa9e-66b2-4c5b-90c1-87fcce177b4e,1,2024-01-26,15.99,Subscription,Netflix,True,Monthly,Card,Netflix
9132b63e-f162-47e4-a9c3-49e03602f8ac,1,2024-05-02,155.75,Groceries,Rios Group,False,N/A,Card,
757750a9-a491-40b2-aa1f-ca65e27a984d,1,2024-02-25,79.12,Shopping,Taylor-Mcgee,False,N/A,Cash,
95a76d79-bf3c-4c06-8343-08bc89fa6a68,1,2024-06-15,36.72,Dining,"Ross, Robinson and Bright",False,N/A,Card,
c17af08a-1745-46d8-be57-0ddf827050a8,1,2024-01-19,141.85,Utilities,Hernandez and Sons,False,N/A,Cash,
98ae4334-6c12-4ce8-ae34-0454cac5b68c,1,2024-01-25,7.99,Subscription,Amazon Prime Video,True,Monthly,Card,Amazon Prime Video
ff01cf99-988c-44c9-a1b1-cd2262801c45,1,2024-06-30,12.99,Subscription,Hulu,True,Monthly,UPI,Hulu
8da0365b-f898-47b9-805c-acec877409a9,1,2024-01-05,129.8,Health,"Le, Maldonado and Herrera",False,N/A,Card,
5715bd6f-a416-4293-84c2-e2e3444ea7c8,1,2024-02-13,169.36,Groceries,Graham-Chavez,False,N/A,Card,
b83cfe0b-e037-45ed-b8db-0672f42d47cc,1,2024-04-12,161.98,Shopping,"Gill, Romero and Rodriguez",False,N/A,UPI,
a39231a7-d777-4477-8c66-e0a8a013ac6e,1,2024-07-16,8.99,Subscription,Disney+,True,Monthly,Card,Disney+
5fb8d16c-2720-497d-b2eb-d6899be578c7,1,2024-03-03,82.15,Utilities,"Ashley, Nielsen and Sellers",False,N/A,UPI,
04fc6d82-7d15-4385-92fb-e43b99546eb4,1,2024-02-13,7.99,Subscription,Amazon Prime Video,True,Monthly,Card,Amazon Prime Video
fc3e058b-e0f3-4ab0-9cec-4eb5edd96831,1,2024-04-29,110.1,Utilities,Brown PLC,False,N/A,Cash,
bb5e4bcf-15ed-4269-9429-6c07f26b4776,1,2024-07-07,118.79,Dining,Spence PLC,False,N/A,Card,
a8e56e0c-20de-435d-a031-d750c40db9b4,1,2024-07-03,31.97,Shopping,"Martin, Rose and Obrien",False,N/A,Card,
8a0f4efb-edcd-465e-b638-6821f6e07cc0,1,2024-03-19,172.92,Transport,"Collins, Carney and Santos",False,N/A,Cash,
7394988f-847f-49b4-a64d-1bcb702753a1,1,2024-02-16,12.99,Subscription,Hulu,True,Monthly,Card,Hulu
568cc69b-1064-405c-b985-c3cf3f76be1d,1,2024-01-09,121.2,Shopping,"Spencer, Chapman and Smith",False,N/A,Cash,
3a9bedd4-0f12-49e0-a18f-f6b6b535106e,1,2024-01-27,112.88,Groceries,Heath Inc,False,N/A,Cash,
ab4220a7-474a-493b-bced-df2d839fbc50,1,2024-07-07,137.93,Health,Ryan Ltd,False,N/A,UPI,
93829b43-922f-415a-a1e3-db63ef7ddc76,1,2024-07-02,71.33,Dining,Mueller Group,False,N/A,UPI,
a8b317fa-18d0-452b-9825-bc5430beb45f,1,2024-06-16,15.99,Subscription,Netflix,True,Monthly,UPI,Netflix
778eedb3-693d-4fbc-ac6f-a6115ab33edf,1,2024-01-22,153.58,Health,"Valdez, Lucas and Brown",False,N/A,Card,
dc96925e-ccf3-4171-96dc-8907ba6c34ab,1,2024-02-12,63.2,Utilities,Lee PLC,False,N/A,Cash,
